"Code","County","Reg_Voters","Raila","Raila-IEBC","RAO Diff","Ruto","Ruto-IEBC","WSR Diff","Rejected","Wajackoyah","Waihiga","Total Votes Cast","Voter_TurnOut","Valid  Votes","% of Val_Votes"
1,"Mombasa",641913,160948,161015,67,113668,113700,32,3792,2107,483,280998,"43.78%",277206,"98.65%"
2,"Kwale",328253,125617,125541,-76,51908,51918,10,1008,1137,414,180084,"54.86%",179076,"99.44%"
3,"Kilifi",588602,164850,204536,39686,64341,77331,12990,2495,1897,1104,234687,"39.87%",232192,"98.94%"
4,"Tana River",141096,51432,51390,-42,41526,41505,-21,1070,430,198,94656,"67.09%",93586,"98.87%"
5,"Lamu",81453,26162,26160,-2,22876,22876,0,887,848,186,50959,"62.56%",50072,"98.26%"
6,"Taita Taveta",181827,58319,81271,22952,17009,29148,12139,641,567,171,76707,"42.19%",76066,"99.16%"
7,"Garissa",201473,75870,81376,5506,19718,28111,8393,526,370,58,96542,"47.92%",96016,"99.46%"
8,"Wajir",207758,82825,83486,661,48438,49062,624,950,617,215,133045,"64.04%",132095,"99.29%"
9,"Mandera",217030,106256,106279,23,28349,28351,2,760,674,261,136300,"62.80%",135540,"99.44%"
10,"Marsabit",166912,55641,55675,34,58815,58782,-33,474,303,144,115377,"69.12%",114903,"99.59%"
11,"Isiolo",89504,26436,26449,13,32300,32302,2,535,173,52,59496,"66.47%",58961,"99.10%"
12,"Meru",772139,79842,103679,23837,369362,398946,29584,4209,2175,1138,456726,"59.15%",452517,"99.08%"
13,"Tharaka Nithi",231932,15028,15062,34,144802,145081,279,971,1142,431,162374,"70.01%",161403,"99.40%"
14,"Embu",334302,31113,31469,356,187867,188874,1007,1846,1388,525,222739,"66.63%",220893,"99.17%"
15,"Kitui",532758,235400,203750,-31650,89419,77912,-11507,3306,2838,1446,332409,"62.39%",329103,"99.01%"
16,"Machakos",687565,304809,258647,-46162,101446,79386,-22060,3759,2703,1270,413987,"60.21%",410228,"99.09%"
17,"Makueni",479401,229172,229187,15,59295,59331,36,1905,1850,575,292797,"61.08%",290892,"99.35%"
18,"Nyandarua",361165,49227,49228,1,189384,189519,135,1617,1048,820,242096,"67.03%",240479,"99.33%"
19,"Nyeri",481632,52043,52043,0,272507,272507,0,2276,1344,982,329152,"68.34%",326876,"99.31%"
20,"Kirinyaga",376001,37978,37978,0,220752,220752,0,1811,1358,645,262544,"69.83%",260733,"99.31%"
21,"Murang'a",620929,73539,67181,-6358,343421,310895,-32526,2564,1942,1532,422998,"68.12%",420434,"99.39%"
22,"Kiambu",1275008,210493,210302,-191,606105,605761,-344,5565,4410,3804,830377,"65.13%",824812,"99.33%"
23,"Turkana",238528,95620,56300,-39320,46510,29333,-17177,1010,434,272,143846,"60.31%",142836,"99.30%"
24,"West Pokot",220026,63072,63147,75,109773,109940,167,1307,373,190,174715,"79.41%",173408,"99.25%"
25,"Samburu",100014,41737,41737,0,28319,28319,0,335,238,62,70691,"70.68%",70356,"99.53%"
26,"Trans Nzoia",398981,132404,131581,-823,116732,115750,-982,2457,881,414,252888,"63.38%",250431,"99.03%"
27,"Uasin Gishu",506138,76032,76032,0,272862,272862,0,2050,594,391,351929,"69.53%",349879,"99.42%"
28,"Elgeyo Marakwet",213884,4902,4902,0,160090,160092,2,1264,176,122,166554,"77.87%",165290,"99.24%"
29,"Nandi",406288,25799,24872,-927,280818,240820,-39998,1478,445,280,308820,"76.01%",307342,"99.52%"
30,"Baringo",281053,41320,40316,-1004,174994,143429,-31565,1030,476,218,218038,"77.58%",217008,"99.53%"
31,"Laikipia",263012,48906,34276,-14630,118987,105827,-13160,1319,604,432,170248,"64.73%",168929,"99.23%"
32,"Nakuru",1054856,226020,170169,-55851,455632,357439,-98193,5488,2439,1815,691394,"65.54%",685906,"99.21%"
33,"Narok",398784,102279,106967,4688,92894,132366,39472,954,322,179,196628,"49.31%",195674,"99.51%"
34,"Kajiado",463273,158526,157704,-822,148439,147974,-465,1251,932,688,309836,"66.88%",308585,"99.60%"
35,"Kericho",428067,15053,14442,-611,318861,272975,-45886,1819,394,207,336334,"78.57%",334515,"99.46%"
36,"Bomet",376985,13383,15132,1749,285428,333491,48063,1545,561,234,301151,"79.88%",299606,"99.49%"
37,"Kakamega",844551,357825,325302,-32523,140626,130184,-10442,5545,3270,1405,508671,"60.23%",503126,"98.91%"
38,"Vihiga",310043,114714,113623,-1091,67633,66717,-916,2101,1463,515,186426,"60.13%",184325,"98.87%"
39,"Bungoma",646598,145106,144658,-448,255755,255337,-418,5605,2382,1581,410429,"63.48%",404824,"98.63%"
40,"Busia",416756,226317,226317,0,48827,48827,0,2791,1406,474,279815,"67.14%",277024,"99.00%"
41,"Siaya",533595,371201,371201,0,4307,4307,0,1869,735,209,378321,"70.90%",376452,"99.51%"
42,"Kisumu",606754,419562,419141,-421,10010,10049,39,2554,773,256,433155,"71.39%",430601,"99.41%"
43,"Homa Bay",551071,399813,397499,-2314,3487,3469,-18,2009,705,124,406138,"73.70%",404129,"99.51%"
44,"Migori",469019,294034,292451,-1583,52619,64645,12026,1500,772,293,349218,"74.46%",347718,"99.57%"
45,"Kisii",637010,264988,262618,-2370,135140,133838,-1302,4189,1683,751,406751,"63.85%",402562,"98.97%"
46,"Nyamira",323283,104477,126284,21807,63645,76541,12896,1615,687,285,170709,"52.80%",169094,"99.05%"
47,"Nairobi City",2415310,721211,760506,39295,518596,560293,41697,12027,5518,4307,1261659,"52.24%",1249632,"99.05%"
48,"Diaspora",10443,3435,3435,0,1840,1840,0,0,36,30,5341,"51.14%",5341,"100.00%"
